Light Intensity, Ch A vs Actual Angular Position, Run #8
Actual Angular Position (  )	Light Intensity, Ch A ( % max )
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.3
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.3
0.000	-0.3
0.000	-0.2
0.000	-0.2
0.000	-0.2
0.000	-0.1
0.001	-0.2
0.001	-0.2
0.001	-0.2
0.001	-0.2
0.001	-0.2
0.001	-0.1
0.001	-0.2
0.001	-0.3
0.001	-0.3
0.001	-0.1
0.001	-0.2
0.001	-0.1
0.001	-0.2
0.002	-0.2
0.004	-0.2
0.005	-0.2
0.007	-0.1
0.008	-0.2
0.010	-0.3
0.011	-0.3
0.013	-0.2
0.016	-0.2
0.019	-0.2
0.023	-0.2
0.026	-0.2
0.028	-0.2
0.030	-0.2
0.032	-0.2
0.034	-0.3
0.036	-0.3
0.039	-0.3
0.042	-0.2
0.045	-0.2
0.047	-0.2
0.049	-0.2
0.051	-0.2
0.053	-0.2
0.055	-0.2
0.056	-0.3
0.058	-0.2
0.060	-0.2
0.062	-0.2
0.064	-0.2
0.065	-0.2
0.066	-0.2
0.068	-0.2
0.070	-0.2
0.073	-0.2
0.075	-0.2
0.077	-0.2
0.079	-0.2
0.081	-0.3
0.083	-0.2
0.085	-0.2
0.087	-0.2
0.089	-0.2
0.091	-0.2
0.093	-0.3
0.095	-0.2
0.097	-0.2
0.099	-0.2
0.102	-0.2
0.105	-0.2
0.108	-0.2
0.110	0.0
0.113	0.0
0.115	0.1
0.117	0.1
0.120	0.1
0.122	0.0
0.125	-0.1
0.127	0.0
0.129	-0.1
0.132	-0.2
0.134	-0.2
0.137	-0.2
0.139	-0.2
0.141	-0.2
0.143	-0.2
0.146	-0.2
0.149	-0.4
0.152	-0.2
0.155	-0.2
0.158	-0.2
0.160	-0.2
0.163	-0.2
0.167	-0.2
0.170	-0.2
0.174	-0.2
0.177	-0.2
0.180	-0.2
0.183	-0.2
0.185	-0.2
0.187	-0.3
0.189	-0.2
0.190	-0.2
0.192	-0.1
0.194	-0.2
0.195	-0.2
0.197	-0.2
0.199	-0.2
0.200	-0.2
0.202	-0.2
0.204	-0.2
0.206	-0.2
0.208	-0.2
0.210	-0.2
0.212	-0.3
0.214	-0.2
0.216	-0.2
0.218	-0.2
0.220	-0.2
0.223	-0.2
0.224	-0.3
0.226	-0.2
0.227	-0.2
0.229	-0.2
0.230	-0.2
0.232	-0.2
0.234	-0.2
0.235	-0.2
0.236	-0.2
0.237	-0.2
0.239	-0.3
0.242	-0.3
0.245	-0.3
0.248	-0.2
0.251	-0.2
0.254	-0.1
0.257	-0.2
0.259	-0.2
0.261	-0.2
0.262	-0.2
0.263	-0.2
0.264	-0.2
0.265	-0.2
0.267	-0.2
0.269	-0.2
0.270	-0.2
0.272	-0.2
0.274	-0.2
0.275	-0.2
0.276	-0.2
0.277	-0.2
0.278	-0.2
0.279	-0.3
0.280	-0.3
0.281	-0.2
0.282	-0.2
0.284	-0.2
0.285	-0.2
0.286	-0.2
0.287	-0.2
0.288	-0.2
0.289	-0.2
0.290	-0.2
0.291	-0.2
0.292	-0.2
0.294	-0.2
0.295	-0.2
0.296	-0.2
0.297	-0.3
0.298	-0.3
0.298	-0.2
0.299	-0.2
0.300	-0.2
0.301	-0.2
0.302	-0.2
0.303	-0.2
0.304	-0.3
0.306	-0.2
0.308	-0.1
0.310	-0.3
0.312	-0.3
0.315	-0.2
0.316	-0.2
0.318	-0.2
0.319	-0.2
0.320	-0.2
0.320	-0.3
0.321	-0.3
0.322	-0.2
0.324	-0.2
0.325	-0.2
0.326	-0.2
0.327	-0.2
0.328	-0.3
0.330	-0.2
0.331	-0.2
0.332	-0.2
0.333	-0.2
0.335	-0.2
0.336	-0.2
0.337	-0.2
0.337	-0.3
0.338	-0.2
0.338	-0.2
0.339	-0.2
0.340	-0.2
0.341	-0.2
0.342	-0.2
0.343	-0.3
0.344	-0.3
0.345	-0.2
0.346	-0.2
0.347	-0.1
0.348	-0.2
0.348	-0.2
0.349	-0.2
0.350	-0.2
0.351	-0.2
0.352	-0.2
0.352	-0.1
0.353	-0.2
0.354	-0.3
0.355	-0.2
0.355	-0.1
0.356	-0.2
0.357	-0.2
0.358	-0.2
0.359	-0.2
0.359	-0.2
0.360	-0.2
0.360	-0.3
0.360	-0.3
0.361	-0.2
0.361	-0.2
0.361	-0.2
0.361	-0.2
0.362	-0.1
0.362	-0.2
0.363	-0.3
0.363	-0.2
0.363	-0.2
0.363	-0.2
0.363	-0.2
0.363	-0.2
0.363	-0.3
0.364	-0.2
0.365	-0.2
0.365	-0.2
0.365	-0.1
