nu	S
2.502075900000000104e+02	3.277999999999999881e-28
2.502541359999999884e+02	1.276999999999999921e-27
2.504883289999999931e+02	7.516000000000000514e-29
2.506146099999999990e+02	8.932000000000000424e-24
2.506529270000000054e+02	5.228999999999999847e-30
2.509459390000000099e+02	3.035999999999999827e-27
2.509881000000000029e+02	1.380000000000000003e-27
2.509994880000000137e+02	5.705999999999999640e-24
2.511439599999999928e+02	2.257000000000000038e-25
2.511999859999999956e+02	5.587000000000000101e-30
2.514992860000000121e+02	1.777999999999999882e-30
2.516546209999999917e+02	5.371000000000000319e-27
2.516546409999999980e+02	2.151000000000000109e-26
2.516569639999999879e+02	7.171000000000000244e-27
2.518007249999999999e+02	1.724000000000000032e-28
2.519284440000000131e+02	3.271000000000000076e-28
2.519818569999999909e+02	4.890000000000000127e-29
2.522760940000000005e+02	3.356999999999999775e-30
2.525094449999999995e+02	4.310999999999999827e-29
2.525095499999999902e+02	1.292999999999999968e-28
2.525491079999999897e+02	1.403000000000000033e-28
2.525685530000000085e+02	4.103999999999999753e-30
2.526280749999999955e+02	5.193000000000000237e-30
2.526718740000000025e+02	3.922999999999999884e-27
2.527997650000000078e+02	7.163999999999999763e-31
2.528076709999999991e+02	1.481000000000000095e-28
2.529017519999999877e+02	2.731000000000000165e-24
2.529618490000000008e+02	2.533000000000000071e-28
2.531082309999999893e+02	1.471999999999999898e-29
2.532719280000000026e+02	1.303999999999999974e-27
2.532761580000000095e+02	3.913000000000000343e-27
2.532787759999999935e+02	3.208999999999999819e-31
2.535770860000000084e+02	2.286999999999999826e-30
2.537443979999999897e+02	8.407999999999999804e-29
2.537466100000000040e+02	2.803000000000000037e-29
2.538120879999999886e+02	3.919000000000000101e-19
2.539094340000000045e+02	2.565999999999999821e-29
2.539388490000000047e+02	6.128000000000000249e-19
2.539685900000000061e+02	1.838999999999999998e-18
2.539804910000000007e+02	7.570999999999999686e-26
2.539804919999999981e+02	2.270999999999999998e-25
2.540907369999999901e+02	1.122000000000000037e-27
2.541489579999999933e+02	6.589999999999999708e-25
2.543283250000000066e+02	2.230999999999999965e-23
2.543682949999999892e+02	1.138000000000000084e-22
2.543983810000000005e+02	3.415999999999999908e-22
2.545225120000000061e+02	2.449999999999999854e-30
2.546361850000000118e+02	6.241000000000000044e-28
2.546557119999999941e+02	2.081000000000000145e-28
2.547792910000000006e+02	1.826000000000000096e-28
2.548493070000000102e+02	1.224999999999999962e-29
2.548589059999999904e+02	3.676000000000000194e-29
2.549705940000000055e+02	1.778000000000000092e-29
2.552044549999999958e+02	5.913999999999999764e-28
2.552884779999999978e+02	2.016000000000000032e-25
2.554405859999999961e+02	4.426000000000000268e-27
2.554469359999999938e+02	1.346000000000000000e-29
2.554570109999999943e+02	2.288999999999999882e-29
2.557040419999999870e+02	2.934999999999999824e-29
2.557492839999999887e+02	1.278000000000000050e-29
2.557588149999999985e+02	8.811000000000000202e-29
2.557613310000000126e+02	3.055000000000000044e-30
2.557782970000000091e+02	2.455999999999999891e-27
2.557843039999999917e+02	4.263000000000000019e-30
2.559060069999999882e+02	7.584000000000000184e-30
2.559421800000000076e+02	2.141999999999999954e-30
2.559913339999999948e+02	1.827999999999999886e-30
2.561130519999999819e+02	8.400000000000000502e-21
2.562512100000000146e+02	2.034999999999999906e-27
